2020,2021,key
3837,4132,60623
1121,1270,60622
986,1230,60660
3748,4120,60617
2638,2646,60649
1977,2345,60625
3476,3769,60651
2226,2517,60647
3507,3737,60628
176,241,60654
1983,2386,60643
2931,3553,60632
4781,5625,60629
1690,1780,60612
2328,2435,60636
2394,2510,60624
2837,2812,60644
556,601,60631
4202,4638,60639
1313,1602,60638
2194,2391,60637
4173,4608,60620
1483,1684,60640
1358,1682,60616
3622,4121,60619
2556,2727,60641
2459,2776,60634
8,9,60803
2172,2516,60618
598,748,60656
647,790,60610
1516,1716,60645
1390,1671,60659
1646,1929,60653
1403,1612,60626
1661,1915,60652
2685,3102,60609
734,1008,60614
791,928,60657
342,460,60642
441,613,60607
245,303,60827
1309,1477,60615
581,698,60646
311,375,60611
1544,1768,60630
232,258,60661
18,18,60635
16,20,60706
617,666,60655
2185,2544,60608
888,1030,60613
4,5,60438
3,,60463
1695,1868,60621
99,105,60680
340,441,60605
79,82,60602
230,274,60633
575,628,60707
21,29,60453
10,9,60473
1,,60814
2,,2006
1,,61761
2,,60041
63,72,60804
146,193,60601
2,,60313
2,1,60525
2,1,60441
1,,60466
35,34,60627
8,8,60077
1,1,606036
2,5,60018
4,7,60016
17,13,60666
3,3,60025
10,3,60455
9,7,60302
1,2,60026
55,61,60606
12,29,60805
17,17,60415
30,27,60604
6,6,60714
4,1,60663
8,4,60076
1,1,60193
17,13,60402
1,,60530
2,2,60543
10,8,60406
2,,60502
9,9,60648
1,,606008
10,6,60419
1,,60151
3,3,60171
2,3,60430
15,14,60409
6,10,60501
3,2,60440
1,,63033
2,4,60465
23,27,60603
13,21,60459
3,3,60101
1,,60744
2,1,60181
2,3,60169
4,4,60160
1,,606652
2,,06029
1,2,60448
2,3,60559
1,,60622-1516
5,1,60561
1,,69626
1,,60879
1,,600632
1,1,60154
8,2,60426
10,1,60185
1,,60943
2,4,60699
1,,600619
1,,6019
2,2,60417
1,,60045
1,,60172
1,,60682
2,2,60452
1,,60524
3,2,60517
1,2,60478
2,,60450
2,1,60067
1,,606629
2,1,60515
8,8,60650
1,,60091
1,,62652
2,,60504
1,,60102
1,1,60191
2,2,60060
1,,33140
1,,60574
1,,53143
2,1,60686
1,,61104
5,3,60104
2,,6619
8,4,60458
1,1,60305
1,2,60432
1,,06021
7,7,60658
1,,61103
1,3,60423
1,1,60433
1,,60521
8,9,606
1,,61008
2,,60301
3,,60687
1,,68123
1,,606015
3,4,60443
1,,60477
